Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,1.290,1.340,1.308,1.331,1.301,1.269,1.249,1.280,1.268,1.246,1.266,1.298
1985,1.284,1.283,1.282,1.267,1.213,1.205,1.200,1.207,1.205,1.189,1.238,1.277
1986,1.275,1.263,1.267,1.219,1.187,1.165,1.189,1.225,1.234,1.225,1.278,1.257
1987,1.300,1.271,1.278,1.294,1.318,1.301,1.313,1.322,1.323,1.326,1.351,1.322
1988,1.314,1.315,1.342,1.336,1.365,1.388,1.373,1.370,1.372,1.394,1.409,1.399
1989,1.397,1.366,1.434,1.424,1.437,1.436,1.438,1.447,1.458,1.449,1.491,1.501
1990,1.557,1.572,1.571,1.593,1.577,1.593,1.581,1.576,1.594,1.582,1.622,1.630
1991,1.647,1.632,1.610,1.611,1.624,1.604,1.586,1.578,1.553,1.552,1.567,1.577
1992,1.601,1.587,1.545,1.563,1.545,1.535,1.487,1.533,1.521,1.546,1.535,1.500
1993,1.565,1.562,1.562,1.588,1.560,1.562,1.577,1.573,1.551,1.556,1.600,1.574
1994,1.561,1.555,1.576,1.482,1.489,1.511,1.456,1.460,1.463,1.416,1.376,1.380
1995,1.381,1.426,1.392,1.365,1.322,1.333,1.365,1.328,1.376,1.371,1.368,1.403
1996,1.350,1.403,1.375,1.354,1.319,1.324,1.352,1.391,1.360,1.371,1.403,1.424
1997,1.409,1.398,1.356,1.381,1.382,1.408,1.402,1.394,1.420,1.406,1.409,1.392
1998,1.457,1.398,1.413,1.419,1.411,1.388,1.447,1.426,1.361,1.393,1.442,1.388
1999,1.382,1.431,1.404,1.429,1.444,1.448,1.435,1.442,1.484,1.496,1.518,1.528
2000,1.483,1.516,1.532,1.584,1.570,1.556,1.574,1.611,1.579,1.582,1.621,1.625
2001,1.693,1.732,1.740,1.763,1.735,1.703,1.680,1.634,1.717,1.713,1.747,1.713
2002,1.734,1.700,1.740,1.784,1.737,1.719,1.659,1.669,1.676,1.721,1.721,1.693
2003,1.722,1.778,1.858,1.855,1.856,1.932,1.878,2.006,2.022,2.010,2.256,2.232
2004,2.260,2.250,2.196,2.089,2.125,2.078,2.095,2.130,2.121,2.210,2.216,2.140
2005,2.191,2.229,2.218,2.309,2.363,2.338,2.299,2.422,2.377,2.206,2.302,2.303
2006,2.277,2.188,2.251,2.228,2.240,2.237,2.147,2.213,2.202,2.206,2.206,2.259
2007,2.185,2.304,2.292,2.254,2.307,2.333,2.366,2.395,2.372,2.260,2.289,2.234
2008,2.328,2.381,2.293,2.323,2.313,2.269,2.258,2.371,2.419,2.402,2.357,2.406
2009,2.357,2.436,2.269,2.251,2.257,2.234,2.147,2.134,2.138,2.177,2.062,2.186
2010,2.279,2.277,2.240,2.364,2.309,2.400,2.453,2.502,2.398,2.397,2.394,2.378
2011,2.533,2.659,2.715,2.722,2.694,2.774,2.818,2.819,2.868,2.876,2.899,2.921
2012,3.005,2.947,3.016,2.998,2.995,3.007,3.085,2.991,3.024,,3.175,3.080
2013,3.407,3.379,3.332,3.268,3.311,3.382,3.459,3.454,3.502,3.389,3.477,3.460
2014,3.467,3.555,3.698,3.808,3.856,3.880,3.884,4.013,4.096,4.154,4.201,4.156
2015,4.235,4.238,4.200,4.231,4.136,4.221,4.200,4.159,4.126,4.083,4.113,4.060
2016,3.978,3.964,3.955,3.815,3.717,3.725,3.690,3.657,3.665,3.679,3.597,3.559
2017,3.553,3.557,3.594,3.547,3.559,3.679,3.754,3.732,3.707,3.688,3.638,3.708
2018,3.641,3.642,3.657,3.730,3.685,3.729,3.745,3.792,3.743,3.714,3.781,3.725
2019,3.801,3.758,3.725,3.775,3.822,3.812,3.800,3.819,3.851,3.841,3.812,3.862
2020,3.886,3.865,3.881,4.052,4.461,4.737,4.264,4.177,4.076,4.008,4.027,3.951
2021,3.965,3.987,4.042,4.096,4.101,4.357,4.388,4.468,4.504,4.719,4.716,4.604
2022,4.554,4.630,4.757,4.916,4.794,4.889,4.893,4.937,4.862,4.836,4.853,4.800
2023,4.791,4.778,4.813,4.790,4.960,5.028,5.102,5.076,5.109,5.226,5.353,5.210
